"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 02 09:16:50 CST 2020","Wed Dec 02 09:16:54 CST 2020","3377","TestCase_001_ysy","test_ysy_008_repair","TestYsy007Myself","","","test_repair_004_repair_userCancel[case2]","
            用例描述：报修历史记录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_002_invitation","TestYsy002Invitation","","","test_invitation_005_share_invitation[case0]","
            用例描述：获取验证码，该用例数据源来自excel
        "
"passed","Wed Dec 02 09:19:51 CST 2020","Wed Dec 02 09:19:54 CST 2020","3333","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_001_receive_setting[case3]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:16:24 CST 2020","Wed Dec 02 09:16:28 CST 2020","4240","TestCase_001_ysy","test_ysy_008_repair","TestYsy007Myself","","","test_repair_002_repair_publish[case4]","
            用例描述：报修历史记录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_002_invitation","TestYsy002Invitation","","","test_invitation_003_get_History_Visitor[case0]","
            用例描述：获取验证码，该用例数据源来自excel
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_009_biotope_fee","TestYsy009BiotopeFee","","","test_fee_001_fee_resource[case0]",""
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_008_Health_Check_visitAdd[case0]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:15:14 CST 2020","Wed Dec 02 09:15:16 CST 2020","2200","TestCase_001_ysy","test_ysy_005_home","TestYsy005Home","","","test_home_001_today_Recommed[case2]","
            用例描述：首页--今日推荐
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_002_yhz_old_regitster","test_yhz_002_Warm_heart_service","TestYhz002WarmHearService","","","test_yhz_002_get_send_food_record_list[case0]","
            用例描述：送餐记录
        "
"passed","Wed Dec 02 09:21:46 CST 2020","Wed Dec 02 09:21:49 CST 2020","3353","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_009_get_Repair_List_1[case7]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_003_biotope_serve","TestYsy003BiotopeServe","","","test_biotope_serve_004_list_bannerCode[case0]","
            用例描述：首页banner
        "
"passed","Wed Dec 02 09:19:24 CST 2020","Wed Dec 02 09:19:27 CST 2020","3315","TestCase_003_o2o","test_o2o_001_myself","TestO2O001Myself","","","test_myself_002_member_list[case2]","
            用例描述：首页--每日登陆获取积分
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_002_yhz_old_regitster","test_yhz_001_login","TestYhz001Login","","","test_yhz_001_register_verify[case0]","
            用例描述：获取验证码
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_009_biotope_fee","TestYsy009BiotopeFee","","","test_fee_004_immediately_Fee[case0]",""
"passed","Wed Dec 02 09:16:03 CST 2020","Wed Dec 02 09:16:05 CST 2020","2248","TestCase_001_ysy","test_ysy_007_myself","TestYsy007Myself","","","test_myself_001_user_info[case1]","
            用例描述：获取验证码
        "
"passed","Wed Dec 02 09:13:03 CST 2020","Wed Dec 02 09:13:07 CST 2020","3970","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_001_get_verifycode[case1]","
            用例描述：获取验证码
        "
"passed","Wed Dec 02 09:13:38 CST 2020","Wed Dec 02 09:13:40 CST 2020","2406","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_005_family_Info[case1]","
            用例描述：家庭信息
        "
